LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	5	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	6	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	7	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	8	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	9	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	10	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	11	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	12	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	13	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	14	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	15	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	16	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	17	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	18	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	19	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	20	0	n	0	0	0	nogroup
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	1	0	n	0.1	11	11	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	2	100	y	0.1	20	20	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	3	0	n	0.1	6	6	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	4	0	n	0.1	16	16	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	5	100	y	0.1	22	22	Lutjanussp.
